Site,Pad_Region,Pad_Colour,Pad_ID,Sampling_Date,Barnacle_Species_Number,Barnacle_Species_List,Grazing_Species_Number,Grazing_Species_List,Algae_Species_Number,Algae_Species_List,Total_Species_Richness,Nitrate,Phosphorous,Salinity,Mean_Logger_Temp,Max_Logger_Temp,Phytoplankton,Precipitation,Temperature,Wind_Speed,Day_length,Solar_Insolation,Barnacle_Count,Gastropod_Count_ON,Gastropod_Count_SIDE,Algae_Cover,Green_Algae,Cyanobacteria,Diatoms,AVG_Banacle_Size,SD_Barnacle_Size
Friars Bay,P,W,10,20/06/2023,1,Semibalanus balanoides,1,Patella vulgata,,,,,1.052,37.72,19.56,35.4,4.763578,2.23193333,18.07,17.5933333,16.26.23,260.6,291,0,2,0.682,0.29,0.09,0.17,2.70885,0.717819114
Friars Bay,P,B,21,20/06/2023,1,Semibalanus balanoides,1,Patella vulgata,,,,,1.052,37.72,19.78,36.7,4.763578,2.23193333,18.07,17.5933333,16.26.23,260.6,199,0,1,1.035,0.17,0.13,0.19,2.7268,1.064503254
Friars Bay,P,W,7,20/06/2023,1,Semibalanus balanoides,1,Gibbula umbilicalis,,,,,1.052,37.72,19.19,35,4.763578,2.23193333,18.07,17.5933333,16.26.23,260.6,330,0,2,,0.4,0.07,0.17,3.0329,0.546593583
Friars Bay,P,B,20,20/06/2023,1,Semibalanus balanoides,2,"Patella vulgaris, Gibbula umbilicalis",,,,,1.052,37.72,19.45,36.6,4.763578,2.23193333,18.07,17.5933333,16.26.23,260.6,213,0,2,,0.41,0.15,0.17,3.16355,0.537460771
Friars Bay,P,W,5,20/06/2023,1,Semibalanus balanoides,1,Osilinus lineatus,,,,,1.052,37.72,19.43,33.9,4.763578,2.23193333,18.07,17.5933333,16.26.23,260.6,292,1,0,,0.18,0.04,0.09,2.41245,0.428276549
Friars Bay,P,B,17,20/06/2023,1,Semibalanus balanoides,12,Patella vulgata,,,,,1.052,37.72,19.22,35.3,4.763578,2.23193333,18.07,17.5933333,16.26.23,260.6,220,1,1,,0.28,0.17,0.05,2.9597,0.70891185
Friars Bay,P,W,6,20/06/2023,1,Semibalanus balanoides,1,Patella vulgata,,,,,1.052,37.72,19.26,33.9,4.763578,2.23193333,18.07,17.5933333,16.26.23,260.6,340,2,0,,0.19,0.05,0.12,3.04355,0.80312658
Friars Bay,P,B,19,20/06/2023,1,Semibalanus balanoides,2,"Patella vulgaris, Gibbula umbilicalis",,,,,1.052,37.72,19.46,34.9,4.763578,2.23193333,18.07,17.5933333,16.26.23,260.6,262,0,2,,0.16,0.05,0.11,2.8221,0.615500691
Friars Bay,P,W,2,20/06/2023,1,Semibalanus balanoides,1,Patella vulgata,,,,,1.052,37.72,19.2,33.6,4.763578,2.23193333,18.07,17.5933333,16.26.23,260.6,337,0,1,,0.11,0.05,0.08,3.0167,0.515816193
Friars Bay,P,B,24,20/06/2023,1,Semibalanus balanoides,1,Gibbula umbilicalis,,,,,1.052,37.72,NA,NA,4.763578,2.23193333,18.07,17.5933333,16.26.23,260.6,282,0,1,,0.18,0.08,0.04,2.94965,0.7123967
Friars Bay,P,W,12,20/06/2023,1,Semibalanus balanoides,0,,,,,,1.052,37.72,19.04,34.4,4.763578,2.23193333,18.07,17.5933333,16.26.23,260.6,345,0,0,,0.05,0.06,0.08,2.68375,0.772249069
Friars Bay,P,B,13,20/06/2023,1,Semibalanus balanoides,0,,,,,,1.052,37.72,19.16,35,4.763578,2.23193333,18.07,17.5933333,16.26.23,260.6,287,0,0,,0.46,0.09,0.01,3.2813,0.489404298
Bastion Steps,N,W,11,20/06/2023,1,Semibalanus balanoides,0,,,,,,0.074,36.894,20.52,35.5,5.19083,2.23193333,18.07,17.5933333,16.26.23,260.6,49,0,0,,0.04,0.06,0.08,2.9711,0.775368006
Bastion Steps,N,B,22,20/06/2023,1,Semibalanus balanoides,0,,,,,,0.074,36.894,NA,NA,5.19083,2.23193333,18.07,17.5933333,16.26.23,260.6,21,0,0,,0.09,0.05,0.19,2.6611,0.695544024
Bastion Steps,N,W,3,20/06/2023,1,Semibalanus balanoides,0,,,,,,0.074,36.894,20.55,35.6,5.19083,2.23193333,18.07,17.5933333,16.26.23,260.6,25,0,0,,0.04,0.02,0.07,2.4743,0.404654393
Bastion Steps,N,B,15,20/06/2023,1,Semibalanus balanoides,0,,,,,,0.074,36.894,20.38,35.6,5.19083,2.23193333,18.07,17.5933333,16.26.23,260.6,10,0,0,,0.29,0.02,0.16,2.8631,0.484897458
Bastion Steps,N,W,8,20/06/2023,1,Semibalanus balanoides,0,,,,,,0.074,36.894,20.66,36.6,5.19083,2.23193333,18.07,17.5933333,16.26.23,260.6,48,0,0,,0.06,0.05,0.08,3.1002,0.678501584
Bastion Steps,N,B,16,20/06/2023,1,Semibalanus balanoides,0,,,,,,0.074,36.894,NA,NA,5.19083,2.23193333,18.07,17.5933333,16.26.23,260.6,19,0,0,,0.2,0.02,0.14,2.80715,0.680962801
Bastion Steps,N,W,1,20/06/2023,1,Semibalanus balanoides,0,,,,,,0.074,36.894,20.33,35.6,5.19083,2.23193333,18.07,17.5933333,16.26.23,260.6,60,0,0,,0.17,0.07,0.07,3.2609,0.306474016
Bastion Steps,N,B,14,20/06/2023,1,Semibalanus balanoides,0,,,,,,0.074,36.894,NA,NA,5.19083,2.23193333,18.07,17.5933333,16.26.23,260.6,34,0,0,,0.08,0.05,0.02,3.0065,0.255143206
Bastion Steps,N,W,9,20/06/2023,1,Semibalanus balanoides,0,,,,,,0.074,36.894,20.22,34.9,5.19083,2.23193333,18.07,17.5933333,16.26.23,260.6,38,0,0,,0.11,0.02,0.06,2.9296,0.387146455
Bastion Steps,N,B,23,20/06/2023,1,Semibalanus balanoides,0,,,,,,0.074,36.894,20.39,35.8,5.19083,2.23193333,18.07,17.5933333,16.26.23,260.6,24,0,0,,0.12,0.05,0.07,2.85385,0.485887107
Bastion Steps,N,W,4,20/06/2023,1,Semibalanus balanoides,0,,,,,,0.074,36.894,20.77,35,5.19083,2.23193333,18.07,17.5933333,16.26.23,260.6,20,0,0,,0,0.01,0.08,2.142285714,0.315064789
Bastion Steps,N,B,18,20/06/2023,1,Semibalanus balanoides,0,,,,,,0.074,36.894,20.69,34.5,5.19083,2.23193333,18.07,17.5933333,16.26.23,260.6,12,0,0,,0.14,0,0.05,2.3653,0.420512928
Friars Bay,P,W,10,06/07/2023,1,Semibalanus balanoides,1,Littorina littorea,,,,57.4,0.148,34.658,19.56,35.4,5.369873,0.73006667,17.37,23.68,16.26.35,232.826667,282,0,1,,0,0.07,0.14,3.40145,0.581322938
Friars Bay,P,B,21,06/07/2023,1,Semibalanus balanoides,1,Gibbula umbilicalis,,,,57.4,0.148,34.658,19.78,36.7,5.369873,0.73006667,17.37,23.68,16.26.35,232.826667,183,1,1,,0,0.06,0.11,3.6811,0.35276407
Friars Bay,P,W,7,06/07/2023,1,Semibalanus balanoides,1,Gibbula umbilicalis,,,,57.4,0.148,34.658,19.2,35,5.369873,0.73006667,17.37,23.68,16.26.35,232.826667,328,1,0,,0,0.1,0.21,3.09995,0.527952463
Friars Bay,P,B,20,06/07/2023,1,Semibalanus balanoides,1,Gibbula umbilicalis,,,,57.4,0.148,34.658,19.45,36.6,5.369873,0.73006667,17.37,23.68,16.26.35,232.826667,219,0,1,,0.1,0.07,0.13,3.13695,0.571841929
Friars Bay,P,W,5,06/07/2023,1,Semibalanus balanoides,1,Patella Vulgata,,,,57.4,0.148,34.658,19.43,33.9,5.369873,0.73006667,17.37,23.68,16.26.35,232.826667,290,0,0,,0,0.07,0.14,3.15425,0.628741744
Friars Bay,P,B,17,06/07/2023,1,Semibalanus balanoides,2,"Patella Vulgata, Gibbula umbilicalis",,,,57.4,0.148,34.658,19.22,35.3,5.369873,0.73006667,17.37,23.68,16.26.35,232.826667,228,1,0,,0,0.29,0.45,2.82765,0.725101642
Friars Bay,P,W,6,06/07/2023,1,Semibalanus balanoides,0,,,,,57.4,0.148,34.658,19.26,33.9,5.369873,0.73006667,17.37,23.68,16.26.35,232.826667,331,0,2,,0,0.13,0.2,3.02035,0.670918651
Friars Bay,P,B,19,06/07/2023,1,Semibalanus balanoides,1,Patella vulgata,,,,57.4,0.148,34.658,19.46,34.6,5.369873,0.73006667,17.37,23.68,16.26.35,232.826667,260,0,1,,0,0.14,0.24,3.4019,0.537609978
Friars Bay,P,W,2,06/07/2023,1,Semibalanus balanoides,0,,,,,57.4,0.148,34.658,19.2,33.6,5.369873,0.73006667,17.37,23.68,16.26.35,232.826667,369,0,0,,0,0.12,0.22,3.27505,0.683067772
Friars Bay,P,B,24,06/07/2023,1,Semibalanus balanoides,1,Gibbula umbilicalis,,,,57.4,0.148,34.658,NA,NA,5.369873,0.73006667,17.37,23.68,16.26.35,232.826667,278,1,0,,0.3,0.23,0.36,3.4725,0.632928994
Friars Bay,P,W,12,06/07/2023,1,Semibalanus balanoides,2,"Gibbula umbilicalis, Patella vulgata",,,,57.4,0.148,34.658,19.04,34.4,5.369873,0.73006667,17.37,23.68,16.26.35,232.826667,344,1,2,,0,0.2,0.34,3.06525,0.745942739
Friars Bay,P,B,13,06/07/2023,1,Semibalanus balanoides,1,Osilinus lineatus,,,,57.4,0.148,34.658,19.16,35,5.369873,0.73006667,17.37,23.68,16.26.35,232.826667,288,0,1,,0,0.23,0.42,2.9928,0.514062102
Bastion Steps,N,W,11,06/07/2023,1,Semibalanus balanoides,0,,,,,44.4,0.08,34.906,20.52,35.5,7.098272,0.73006667,17.37,23.68,16.26.35,232.826667,63,0,0,,0,0.02,0.08,2.995,0.347537608
Bastion Steps,N,B,22,06/07/2023,1,Semibalanus balanoides,0,,,,,44.4,0.08,34.906,NA,NA,7.098272,0.73006667,17.37,23.68,16.26.35,232.826667,25,0,0,,0,0.02,0.11,2.613,0.555982814
Bastion Steps,N,W,3,06/07/2023,1,Semibalanus balanoides,0,,,,,44.4,0.08,34.906,20.55,35.6,7.098272,0.73006667,17.37,23.68,16.26.35,232.826667,28,0,0,,0,0.01,0.06,2.7028,0.487906082
Bastion Steps,N,B,15,06/07/2023,1,Semibalanus balanoides,0,,,,,44.4,0.08,34.906,20.38,35.6,7.098272,0.73006667,17.37,23.68,16.26.35,232.826667,11,0,0,,0,0,0.05,2.6637,0.582814588
Bastion Steps,N,W,8,06/07/2023,1,Semibalanus balanoides,0,,,,,44.4,0.08,34.906,20.66,36.6,7.098272,0.73006667,17.37,23.68,16.26.35,232.826667,47,0,0,,0,0.01,0.04,2.6824,0.750985863
Bastion Steps,N,B,16,06/07/2023,1,Semibalanus balanoides,0,,,,,44.4,0.08,34.906,NA,NA,7.098272,0.73006667,17.37,23.68,16.26.35,232.826667,17,0,0,,0,0.03,0.11,2.75845,0.590117665
Bastion Steps,N,W,1,06/07/2023,1,Semibalanus balanoides,0,,,,,44.4,0.08,34.906,20.33,35.6,7.098272,0.73006667,17.37,23.68,16.26.35,232.826667,62,0,0,,0,0.03,0.09,3.1746,0.467169479
Bastion Steps,N,B,14,06/07/2023,1,Semibalanus balanoides,0,,,,,44.4,0.08,34.906,NA,NA,7.098272,0.73006667,17.37,23.68,16.26.35,232.826667,29,0,0,,0,0.02,0.12,3.02525,0.467102193
Bastion Steps,N,W,9,06/07/2023,1,Semibalanus balanoides,0,,,,,44.4,0.08,34.906,20.22,34.9,7.098272,0.73006667,17.37,23.68,16.26.35,232.826667,40,0,0,,0,0.03,0.12,2.86745,0.355480461
Bastion Steps,N,B,23,06/07/2023,1,Semibalanus balanoides,0,,,,,44.4,0.08,34.906,20.39,35.8,7.098272,0.73006667,17.37,23.68,16.26.35,232.826667,29,0,0,,0,0.03,0.12,2.60385,0.438494017
Bastion Steps,N,W,4,06/07/2023,1,Semibalanus balanoides,0,,,,,44.4,0.08,34.906,20.77,35,7.098272,0.73006667,17.37,23.68,16.26.35,232.826667,20,0,0,,0,0.01,0.09,2.4214375,0.38813827
Bastion Steps,N,B,18,06/07/2023,1,Semibalanus balanoides,0,,,,,44.4,0.08,34.906,20.69,34.5,7.098272,0.73006667,17.37,23.68,16.26.35,232.826667,7,0,0,,0,0,0.05,2.420357143,0.449741103
Friars Bay,P,W,10,20/07/2023,1,Semibalanus balanoides,1,Patella vulgata,,,,74.68,0.034,31.484,20.56,37.5,3.641171,0.88026667,17.57,24.3133333,16.01.32,222.626667,279,0,1,,0,0.19,0.35,3.4537,0.537891573
Friars Bay,P,B,21,20/07/2023,1,Semibalanus balanoides,0,,,,,74.86,0.034,31.484,20.66,37.4,3.641171,0.88026667,17.57,24.3133333,16.01.32,222.626667,183,0,0,,0,0.12,0.29,2.9983,0.659125186
Friars Bay,P,W,7,20/07/2023,1,Semibalanus balanoides,3,"Patella vulgata, Gibbula umbilicalis, Osilinus Lineatus",,,,74.86,0.034,31.484,20.37,37.2,3.641171,0.88026667,17.57,24.3133333,16.01.32,222.626667,323,0,4,,0,0.26,0.44,3.233,0.505075462
Friars Bay,P,B,20,20/07/2023,1,Semibalanus balanoides,0,,,,,74.86,0.034,31.484,20.51,37.9,3.641171,0.88026667,17.57,24.3133333,16.01.32,222.626667,195,0,0,,0.06,0.33,0.31,3.1893,0.742726965
Friars Bay,P,W,5,20/07/2023,1,Semibalanus balanoides,0,,,,,74.86,0.034,31.484,20.44,35.3,3.641171,0.88026667,17.57,24.3133333,16.01.32,222.626667,283,0,0,,0,0.07,0.24,3.36465,0.48335983
Friars Bay,P,B,17,20/07/2023,1,Semibalanus balanoides,2,"Patella vulgata, Littorina nigrolineata*",,,,74.86,0.034,31.484,20.32,37.7,3.641171,0.88026667,17.57,24.3133333,16.01.32,222.626667,180,0,2,,0.09,0.68,0.73,3.31855,0.612630687
Friars Bay,P,W,6,20/07/2023,1,Semibalanus balanoides,1,Osilinus lineatus,,,,74.86,0.034,31.484,20.29,35.7,3.641171,0.88026667,17.57,24.3133333,16.01.32,222.626667,327,0,1,,0,0.24,0.36,2.9671,0.75834219
Friars Bay,P,B,19,20/07/2023,1,Semibalanus balanoides,1,Gibbula umbilicalis,,,,74.86,0.034,31.484,20.49,37.8,3.641171,0.88026667,17.57,24.3133333,16.01.32,222.626667,230,0,1,,0,0.37,0.47,2.63795,0.479175417
Friars Bay,P,W,2,20/07/2023,1,Semibalanus balanoides,0,,,,,74.86,0.034,31.484,20.3,35.1,3.641171,0.88026667,17.57,24.3133333,16.01.32,222.626667,353,1,1,,0,0.44,0.5,3.7719,0.828554022
Friars Bay,P,B,24,20/07/2023,1,Semibalanus balanoides,3,"Gibbula umbilicalis*, Osilinus lineatus, Patella vulgaris",,,,74.86,0.034,31.484,NA,NA,3.641171,0.88026667,17.57,24.3133333,16.01.32,222.626667,230,0,2,,0.19,0.58,0.88,3.01855,0.642067124
Friars Bay,P,W,12,20/07/2023,1,Semibalanus balanoides,2,"Patells vulgaris, Gibbula umbilicalis",,,,74.86,0.034,31.484,20.13,34.9,3.641171,0.88026667,17.57,24.3133333,16.01.32,222.626667,329,1,1,,0,0.41,0.52,3.27605,0.970730208
Friars Bay,P,B,13,20/07/2023,1,Semibalanus balanoides,2,"Gibbula umbilicalis, Oslinus lineatus",,,,74.68,0.034,31.484,20.23,36.1,3.641171,0.88026667,17.57,24.3133333,16.01.32,222.626667,286,0,4,,0,0.48,0.54,3.43935,0.717176332
Bastion Steps,N,W,11,20/07/2023,1,Semibalanus balanoides,0,,,,,49.2,0.006,31.554,20.99,34.9,3.833657,0.88026667,17.57,24.3133333,16.01.32,222.626667,63,0,0,,,,,2.80725,1.234705504
Bastion Steps,N,B,22,20/07/2023,1,Semibalanus balanoides,0,,,,,49.2,0.006,31.554,NA,NA,3.833657,0.88026667,17.57,24.3133333,16.01.32,222.626667,26,0,0,,,,,2.92775,0.577140376
Bastion Steps,N,W,3,20/07/2023,1,Semibalanus balanoides,0,,,,,49.2,0.006,31.554,21.01,34.6,3.833657,0.88026667,17.57,24.3133333,16.01.32,222.626667,29,0,0,,,,,2.9069,0.355265378
Bastion Steps,N,B,15,20/07/2023,1,Semibalanus balanoides,0,,,,,49.2,0.006,31.554,20.94,35.1,3.833657,0.88026667,17.57,24.3133333,16.01.32,222.626667,13,0,0,,,,,2.8592,0.617102918
Bastion Steps,N,W,8,20/07/2023,1,Semibalanus balanoides,0,,,,,49.2,0.006,31.554,20.96,34.7,3.833657,0.88026667,17.57,24.3133333,16.01.32,222.626667,46,0,0,,,,,3.0861,0.582517849
